MLA Name,Age,Constituency,Gender,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Narayan Singh Kushwaha,Info Not Available,Gwalior South,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Narayan Singh Kushwaha.jpg
Dileep Ahirwar,Info Not Available,Chandla,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Dileep Ahirwar.jpg
Aidal Singh Kansana,Info Not Available,Sumawali,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Aidal Singh Kansana.jpg
"Chetanya Kasyap ""Bhaiyyaji""",Info Not Available,Ratlam City,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,"Chetanya Kasyap ""Bhaiyyaji"".jpg"
Nagar Singh Chouhan,Info Not Available,Alirajpur,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Nagar Singh Chouhan.jpg
Dilip Jaiswal,Info Not Available,Kotma,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Dilip Jaiswal.jpg
Kailash Vijayvargiya,Info Not Available,Indore-1,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Kailash Vijayvargiya.jpg
Lakhan Patel,Info Not Available,Pathariya,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Lakhan Patel.jpg
Narayan Singh Panwar,Info Not Available,Biaora,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Narayan Singh Panwar.jpg
Narendra Shivaji Patel,Info Not Available,Udaipura,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Narendra Shivaji Patel.jpg
Ghanshyam Chandravanshi,Info Not Available,Kalapipal,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,41,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ghanshyam Chandravanshi.jpg
